100aC;100aS;100eC;100eS;100dC;100dS;120C;120S;130C;130S;150aC;150aS;150bC;150bS;150cC;150cS;200aC;200aS;200bC;200bS;202C;202S;535aC;535aS;1000C;1000S;1323C;1323S;1400C;1400S;1748C;1748S;1889C;1889S;2392C;2392S;3038C;3038S;3795C;3795S;5934C;5934S;7397C;7397S
21999;22594;22797;22838;21617;21561;16714;17058;63124;64926;68928;66833;27902;28014;26583;26727;30958;30550;30747;30029;41609;42166;231394;237135;21198113,02;20511969,47;287682,3742;280478,2619;29132,44548;27958,17761;37060;35914;344034,9885;336842,3099;398193,624;419317,5291;146068,4442;149817,406;51360;54822;60883;62109;43373;27629
21920;22032;22863;22672;21666;21799;16529;16669;63523;65403;69966;66796;28433;27959;27170;26857;30201;30107;30350;30780;42301;44790;222244;231566;20496954,93;20143939,05;288634,6888;295871,3135;33848,84218;26250,93021;35706;35637;340726,7047;353363,264;399115,258;417851,8343;145839,2589;148123,4266;54291;52924;62122;62515;41471;29195
21382;21876;22601;22417;21682;21481;16529;16746;61996;63302;66672;70680;26978;28053;26740;27141;30550;30157;30450;31037;42472;43910;219717;219596;19460898,39;20110892,45;282621,2618;287541,5589;33815,92327;26343,93544;36817;36327;360605,4334;346536,2345;405507,2224;432325,0107;146276,4483;147546,8442;48139;61438;61172;61325;41164;29995
21980;22334;22789;22415;21679;22568;16708;17294;62430;62772;68842;67542;27365;27926;27185;26805;29873;31338;31100;30783;41917;42552;229965;226355;20134297,35;20027481,59;284909,4012;284552,2204;31564,27865;30720,49421;36665;35215;344246,6205;353156,0233;400411,1866;429799,9943;145039,3946;148339,3085;52846;57691;61004;61811;42154;29855
21747;23238;23523;23630;22241;22934;16637;16543;64746;64874;67216;68311;27748;28491;27778;27626;30683;31210;31073;30456;42223;42249;237911;231586;20343159,62;19611029,66;281806,9825;290155,9983;30683,3613;29435,48432;36844;35769;334004,178;340319,638;400137,3263;408051,6606;144898,5375;151250,197;58220;59036;61220;61389;43155;28523
21577;22069;22525;22376;21329;22373;16971;17260;63105;62502;68283;67787;27386;30065;26765;26731;30274;30749;31271;30568;41828;43706;221619;225591;20281658,19;20380938,7;282668,2098;290028,4261;34977,76076;34191,22322;38138;35309;343087,2147;336631,9081;397151,2784;439313,331;144376,8389;148088,9487;52498;62940;61216;63892;42619;27455
22065;22385;22943;23418;23044;21722;16816;16709;63363;64243;68399;67300;27236;26865;27273;26827;30313;30130;30734;30207;42035;43159;224322;227953;19687133,61;19952524,98;287411,683;292317,0462;29937,01492;31989,547;35501;34977;338102,3987;342601,5552;399531,1358;413537,4588;146630,6595;147237,1214;51583;51467;62455;60557;42711;27964
22129;22055;22760;23021;22540;21731;16962;16889;62821;64387;66559;66506;27665;27271;27182;27780;30349;30309;30388;30913;43051;40884;223306;235697;19859948,35;20482062,11;281498,4559;287476,0979;36867,39542;33954,30248;36097;35659;343120,2554;340348,9339;399946,9924;414951,8964;146094,4903;151307,7154;52016;52274;61710;60540;39855;28469
22160;21910;23173;23499;21492;21785;16655;16615;62175;64455;66888;68674;27278;28174;27033;27068;30268;31090;30087;30992;43067;44148;230152;233542;19600150,25;19611894,55;283474,9496;289872,7821;27304,79488;28693,78953;36318;35248;339929,8401;349181,7265;405472,1165;414493,4736;145898,0248;148005,0809;54882;52649;62295;61122;40897;27884
22130;22399;22324;22459;21968;22005;16718;16441;62939;63206;69037;67228;27712;28561;26667;26682;30550;30612;30626;30037;41703;44402;220025;239461;19639912,43;20324732,11;287996,0338;284275,678;30888,53258;32185,93895;35719;35419;345699,3065;350700,475;402348,2353;419575,796;145968,2015;148426,5724;55797;50901;61886;62233;42725;29175
22454;21721;22363;22335;22810;23023;17093;16511;65236;64179;66959;68044;27978;28500;27032;26867;30104;30639;30537;30828;41819;43395;233103;223130;20650385,84;20396322,26;292448,7504;287178,7896;29253,13415;27525,64706;36912;35204;340808,9562;341041,1544;399400,1527;407410,4303;146020,8311;152744,0403;47305;54343;62359;61978;44208;30433
22033;22149;22738;23029;22424;21582;16523;16701;62720;62067;67848;66706;27431;27188;27064;27452;30070;30874;30630;30253;40891;43771;215176;231411;19758516,93;19719937,16;285642,957;289022,7308;38952,38191;36606,97784;36649;35609;337872,1593;341063,2186;403162,8628;424276,4078;145899,2896;149617,2363;48095;50172;60504;62410;38316;28285
21567;22148;22804;22543;21838;22819;16934;16393;63622;62807;67001;68159;27783;27966;26899;27003;30242;29742;30920;30097;41726;42255;244585;224963;19840635,93;20501990,58;285918,0483;289029,0398;35476,00793;30479,36067;36287;35546;345359,019;345860,0783;401609,1056;430587,1398;145872,402;146456,9375;51276;49040;62685;61957;36945;30050
21716;21939;22413;23139;22220;21970;16403;16469;62939;62322;69166;68568;27305;27300;27186;26651;30631;30367;31282;30945;41554;42519;222405;227881;19905994,81;20386380,14;282968,9506;286832,5593;29853,16778;28513,97836;36124;35619;338327,716;346063,4344;400034,9911;409701,7367;145950,7032;147504,4316;52111;53972;62975;62252;41441;29350
23372;22143;22317;22439;21797;21902;16939;16499;62177;65195;67310;67571;26963;27475;26747;26540;30169;30134;29943;30684;41713;41549;237567;233913;19768491,39;20319428,7;290364,8391;287509,138;28380,12758;28140,80424;38015;35405;338093,1494;342567,1588;399478,8744;418513,4093;145113,7625;150842,9335;62267;54858;60523;61392;43584;29096
21484;21703;22723;23334;22066;22132;16653;16693;63100;62178;67945;66347;27700;27164;26896;27302;29654;30210;30504;30167;41245;43286;211234;228740;20239153,31;20320729,52;291028,3732;290725,9399;34557,21321;31116,92486;35488;35455;351482,2246;341763,1737;400459,3576;423109,1625;146657,7571;149156,0758;54441;60991;60827;61789;40699;30687
21316;21742;22648;22629;22365;21680;16773;17110;64020;63124;67967;67752;28194;27398;28254;26584;30471;30837;30882;30541;42526;43305;217222;230935;20063305,17;19945139,31;291659,503;287701,4088;34420,38354;29251,6442;37581;35712;350183,9222;335241,5488;404170,3275;433170,731;145780,4424;146807,2687;54508;50647;62007;61156;38339;30081
22389;22149;22341;22489;22230;22039;17010;16531;63471;64793;67916;68240;27583;27984;26730;26962;30250;29718;30897;30479;40774;45444;230871;216579;19923067,64;20759169,57;289626,7863;288690,8401;35032,0108;29733,58661;35907;35891;343343,2186;338916,5915;406017,2026;439725,7359;145367,7291;147417,8504;51229;54163;60992;61077;39447;29063
22591;22583;23510;22720;22087;22137;16980;16806;64665;62794;65956;67382;27548;28489;26850;26968;30419;30419;31119;29942;41636;43946;233240;240032;20080430,98;20287410,9;283797,3788;286478,025;30307,99084;26411,23504;35507;35254;340707,0404;342940,5502;403195,6305;413223,6529;145120,2987;149570,25;57528;53364;61762;60920;40568;28221
21846;22341;22291;22805;21760;22699;16664;16905;63501;61998;67548;69439;28029;27687;26800;26790;30510;30336;29615;31304;43114;44842;219563;230197;19970506,18;19621408,44;279526,1692;286107,8534;30555,60175;28617,13651;35697;35539;343990,2738;343423,1163;403409,5971;411022,9772;146148,2939;146243,7193;57443;58363;61933;62377;41410;28777
22141;21921;23013;22079;22074;22248;16578;17210;64360;65906;67052;68717;27471;27653;26707;26878;29909;30341;30889;30411;41492;42261;231092;221664;20321754,8;19529065,33;281761,8097;286794,8602;34220,09752;32782,48876;35482;35112;337174,6016;355143,8485;399363,8421;441526,6227;144954,5984;150751,8852;53814;53175;61398;62076;40785;27684
